Nhom,Ma,Doi_tuong,Chuc_nang,Hanh_dong,Admin,Sinh_vien,Giang_vien,Doanh_nghiep,Dieu_kien,From_Status,To_Status,Moc,Ngay_bat_dau_tuong_doi,Ngay_ket_thuc_tuong_doi,Nguoi_chiu_trach_nhiem,Nguoi_nhan_nhac,So_lan_nhac,Ghi_chu
RBAC,R1,Account,Quan_ly_tai_khoan,Xem_danh_sach,ALLOW,DENY,DENY,DENY,Chi_Admin,, , , , ,Admin,Admin,0,
RBAC,R2,Account,Quan_ly_tai_khoan,Tao_tai_khoan,ALLOW,DENY,DENY,DENY,Chi_Admin,, , , , ,Admin,Admin,0,
RBAC,R3,Account,Quan_ly_tai_khoan,Khoa_mo_tai_khoan,ALLOW,DENY,DENY,DENY,Chi_Admin,, , , , ,Admin,Admin,0,
RBAC,R4,Profile,Ho_so_ca_nhan,Xem_ho_so_ca_nhan,ALLOW,ALLOW,ALLOW,ALLOW,Own_Resource,, , , , ,He_thong,All,0,
RBAC,R5,Profile,Ho_so_ca_nhan,Cap_nhat_ho_so_ca_nhan,ALLOW,ALLOW,ALLOW,ALLOW,Own_Resource,, , , , ,He_thong,All,0,
RBAC,R6,Sinh_vien,Quan_ly_sinh_vien,Xem_danh_sach,ALLOW,DENY,ALLOW,DENY,Giang_vien_chi_xem_sinh_vien_duoc_phan_cong,, , , , ,Admin,Admin;Giang_vien,0,
RBAC,R7,Sinh_vien,Quan_ly_sinh_vien,Import_Export,ALLOW,DENY,DENY,DENY,Chi_Admin,, , , , ,Admin,Admin,0,
RBAC,R8,Giang_vien,Quan_ly_giang_vien,Xem_danh_sach,ALLOW,DENY,DENY,DENY,Chi_Admin,, , , , ,Admin,Admin,0,
RBAC,R9,Doanh_nghiep,Quan_ly_doanh_nghiep,Xem_danh_sach,ALLOW,DENY,DENY,ALLOW,Doanh_nghiep_chi_xem_ho_so_cua_minh,, , , , ,Admin,Admin;Doanh_nghiep,0,
RBAC,R10,Doanh_nghiep,Quan_ly_doanh_nghiep,Cap_nhat_thong_tin,ALLOW,DENY,DENY,ALLOW,Doanh_nghiep_chi_sua_ho_so_cua_minh,, , , , ,Admin,Doanh_nghiep,0,
RBAC,R11,CV,Quan_ly_CV,Tao_CV,DENY,ALLOW,DENY,DENY,Trong_giai_doan_dang_ky,, , , , ,Sinh_vien,Sinh_vien,0,
RBAC,R12,CV,Quan_ly_CV,Xem_CV,ALLOW,ALLOW,ALLOW,ALLOW,Sinh_vien_own;Giang_vien_theo_phan_cong;Doanh_nghiep_theo_phan_cong,, , , , ,He_thong,All,0,
